NMT,Hour,SEL,SEL,SEL,Leq,Leq,EPNL,EPNL,LASmax,LASmax,LAZ,LAZ
,,mean,max,count,mean,max,mean,max,mean,max,mean,max
MP01,21.0,79.19637070641608,98.8,1543,66.799805573558,80.3,80.12177576150356,97.9,70.99526895657809,85.0,69.72592352559948,90.1
MP01,22.0,79.58813397129187,95.6,1045,66.72583732057416,80.6,80.38191387559809,95.2,71.01693779904306,86.2,70.03684210526316,87.7
MP01,23.0,80.52381835032438,96.2,1079,67.69490268767377,80.6,81.1495829471733,96.7,71.78572752548656,87.9,70.82344763670065,88.6
MP02,0.0,87.94056224899599,100.6,1494,73.38795180722892,84.4,89.90930388219545,103.4,78.54852744310575,92.7,77.76827309236948,90.2
MP02,1.0,88.9037711313394,101.5,1538,74.257022106632,85.7,90.92126137841352,104.4,79.68205461638492,93.4,78.6923276983095,91.1
MP02,2.0,88.26283185840707,102.0,678,73.71106194690265,86.1,90.44631268436578,105.2,78.98436578171092,95.0,78.12463126843657,91.1
MP02,3.0,87.94965986394558,101.2,588,73.42091836734694,84.9,90.32159863945579,104.3,78.58231292517007,93.3,77.79965986394558,90.5
MP02,4.0,88.29959394610557,101.1,2709,73.88693244739757,85.1,90.21971207087486,104.5,79.18892580287928,93.2,77.99132521225545,90.4
MP02,5.0,87.16533333333334,101.8,4650,72.80645161290323,85.4,88.95858064516129,104.2,78.00941935483871,93.9,76.97632258064516,91.0
MP02,6.0,87.14456355283308,101.2,3265,72.57415007656968,85.3,88.83791730474732,104.4,77.95035222052067,93.6,76.98147013782543,90.6
MP02,7.0,87.83259848211058,103.1,2767,73.1186483556198,86.3,89.61409468738707,104.9,78.673436935309,95.7,77.61423924828334,92.2
MP02,8.0,87.87764127764127,101.2,2849,73.26465426465427,84.3,89.69034749034749,103.9,78.73246753246752,93.3,77.66258336258336,90.5
MP02,9.0,87.16620583717358,103.8,1953,72.90967741935484,85.4,89.20670762928827,105.5,78.06041986687148,94.8,76.99677419354839,92.6
MP02,10.0,86.86749745676501,100.6,1966,72.60218718209562,85.1,88.75981688708036,103.4,77.84303153611394,93.3,76.7940996948118,90.0
MP02,11.0,87.36316,104.0,2500,72.95356,88.3,89.20016,105.5,78.26568,96.5,77.25796,94.0
MP02,12.0,87.03837298541826,107.0,2606,72.66293169608596,89.0,88.77175748273216,107.6,77.94658480429777,96.1,77.02501918649271,97.1
MP02,13.0,86.64571545715457,100.7,2439,72.33144731447314,85.9,88.35543255432555,104.0,77.57322673226733,93.2,76.65153751537515,90.2
MP02,14.0,86.78767520541325,102.0,2069,72.47868535524408,86.3,88.38559690671822,106.5,77.7466892218463,93.5,76.77520541324311,91.4
MP02,15.0,86.65680154142582,100.5,2595,72.36231213872833,84.6,88.29094412331406,103.3,77.5902119460501,92.5,76.6144894026975,90.3
MP02,16.0,87.07395015363606,102.1,2929,72.81140320928645,84.9,88.6647661317856,105.2,78.10850119494708,94.3,76.92683509730284,91.1
MP02,17.0,87.03295597484276,101.2,2385,72.70364779874214,85.9,88.59639412997903,104.3,78.01006289308177,93.6,76.90301886792453,90.5
MP02,18.0,87.20681586978637,102.2,1966,72.80834181078332,86.1,88.79771108850457,105.0,78.19028484231943,94.3,77.03860630722278,91.3
MP02,19.0,86.30451776649745,103.5,1970,71.79263959390863,87.4,87.99106598984771,106.0,77.02060913705584,94.9,76.33365482233502,92.8
MP02,20.0,86.78711246200608,102.4,1645,72.19659574468085,85.2,88.42595744680852,105.3,77.51762917933131,95.2,76.71446808510639,91.4
MP02,21.0,87.1808878856283,101.5,1329,72.50413844996238,85.3,88.7007524454477,104.0,77.90210684725356,94.0,77.12302483069978,91.1
MP02,22.0,87.52327586206897,102.4,1044,72.81752873563218,86.4,89.15287356321839,104.5,78.13726053639847,95.2,77.53132183908046,91.6
MP02,23.0,87.9152281134402,103.2,1622,73.41609124537608,85.8,89.83168927250308,103.8,78.58329223181258,95.0,77.72946979038224,93.1
MP03,0.0,80.33230519480519,93.7,1232,66.22264610389611,75.9,81.32021103896103,96.0,69.70941558441558,82.8,70.8375,83.8
MP03,1.0,82.21322115384616,94.3,1248,67.88405448717948,77.1,83.21065705128204,97.0,71.84134615384616,84.3,72.36554487179487,84.3
MP03,2.0,82.24819532908705,94.7,471,67.8692144373673,77.0,83.37940552016984,96.9,71.83991507430997,83.8,72.5303609341826,84.5
MP03,3.0,81.34562334217506,94.3,377,66.79363395225464,76.4,82.84164456233421,97.3,70.46551724137932,84.1,71.93554376657825,85.1
MP03,4.0,80.89723382045929,96.4,1916,66.98742171189978,79.9,81.82009394572025,98.5,70.7027139874739,87.9,71.03950939457204,85.4
MP03,5.0,80.21038098566935,94.0,2861,66.42603984620762,76.9,81.24557846906676,96.5,70.03226144704648,83.4,70.42202027263194,83.8
MP03,6.0,79.40676486633934,93.6,1833,65.30010911074741,75.1,80.99503546099291,95.7,68.79050736497545,82.6,70.1139661756683,83.9
