iter	Passed	Remaining
714	146369	58343
715	146537	58124
716	146728	57913
717	146957	57718
718	147149	57508
719	147365	57308
720	147559	57100
721	147718	56877
722	147935	56678
723	148184	56490
724	148433	56302
725	148645	56100
726	148885	55908
727	149070	55696
728	149267	55489
729	149504	55296
730	149751	55106
731	149961	54903
732	150165	54698
733	150365	54491
734	150604	54299
735	150778	54083
736	150981	53878
737	151165	53665
738	151332	53447
739	151514	53234
740	151755	53042
741	152027	52861
742	152191	52642
743	152394	52436
744	152633	52243
745	152817	52031
746	153000	51819
747	153234	51624
748	153436	51418
749	153650	51216
750	154111	51096
751	154339	50899
752	154559	50698
753	154736	50484
754	154883	50260
755	155119	50065
756	155317	49857
757	155552	49661
758	155789	49466
759	156015	49267
760	156213	49060
761	156408	48852
762	156613	48646
763	156835	48446
764	157090	48256
765	157269	48043
766	157506	47847
767	157710	47641
768	157934	47441
769	158182	47249
770	158381	47042
771	158603	46841
772	158806	46635
773	159009	46429
774	159222	46225
775	159454	46028
776	159718	45839
777	159981	45650
778	160218	45453
779	160426	45248
780	160649	45047
781	160863	44844
782	161060	44636
783	161274	44432
784	161501	44232
785	161712	44028
786	161906	43819
787	162138	43621
788	162414	43433
789	162580	43217
790	162743	43000
791	162940	42792
792	163130	42582
793	163345	42379
794	163529	42168
795	163718	41957
796	163902	41746
797	164177	41558
798	164361	41347
799	164579	41144
800	164778	40937
801	165031	40743
802	165223	40534
803	165393	40319
804	165620	40119
805	165845	39918
806	166064	39715
807	166242	39503
808	166447	39297
809	166649	39090
810	166856	38885
811	167028	38671
812	167297	38480
813	167522	38279
814	167730	38073
815	167924	37865
816	168087	37649
817	168288	37443
818	168515	37242
819	168788	37051
820	168946	36834
821	169149	36628
822	169370	36425
823	169574	36219
824	169742	36005
825	169926	35795
826	170097	35582
827	170337	35384
828	170591	35188
829	170814	34986
830	171058	34788
831	171273	34584
832	171483	34379
833	171699	34175
834	171881	33964
835	172107	33762
836	172353	33564
837	172548	33356
838	172697	33139
839	172936	32940
840	173186	32742
841	173394	32537
842	173582	32327
843	173821	32128
844	174020	31921
845	174295	31727
846	174512	31523
847	174727	31319
848	174898	31106
849	175111	30902
850	175260	30686
851	175478	30482
852	175718	30282
853	176000	30089
854	176307	29900
855	176526	29696
856	176718	29487
857	176903	29277
858	177095	29069
859	177345	28870
860	177551	28663
861	177711	28450
862	177919	28244
863	178119	28037
864	178291	27825
865	178535	27625
866	178770	27423
867	178999	27221
868	179162	27008
869	179403	26807
870	179642	26606
871	179843	26398
872	180036	26190
873	180216	25980
874	180398	25771
875	180617	25566
876	180829	25361
877	181016	25152
878	181228	24947
879	181445	24742
880	181695	24542
881	181897	24335
882	182166	24137
883	182347	23927
884	182579	23725
885	182793	23519
886	182916	23302
887	183129	23097
888	183335	22891
889	183563	22687
890	183756	22479
891	183951	22272
892	184138	22063
893	184346	21857
894	184552	21651
895	184733	21442
896	184917	21233
897	185143	21029
898	185372	20826
899	185586	20620
900	185825	20418
901	186022	20210
902	186213	20002
903	186424	19797
904	186617	19589
905	186836	19384
906	187045	19178
907	187266	18974
908	187454	18766
909	187735	18567
910	187944	18361
911	188146	18154
912	188340	17947
913	188567	17742
914	188799	17538
915	189000	17331
916	189235	17128
917	189437	16921
918	189657	16716
919	189896	16512
920	190100	16306
921	190307	16099
922	190492	15891
923	190728	15687
924	190911	15479
925	191072	15269
926	191278	15062
927	191448	14853
928	191660	14647
929	191881	14442
930	192088	14236
931	192282	14029
932	192501	13823
933	192788	13623
934	193033	13419
935	193194	13209
936	193385	13002
937	193566	12794
938	193793	12589
939	194005	12383
940	194210	12176
941	194424	11970
942	194655	11766
943	194858	11559
944	195071	11353
945	195279	11147
946	195460	10939
947	195656	10732
948	195873	10526
949	196081	10320
950	196356	10117
951	196648	9915
952	196870	9709
953	197100	9503
954	197296	9296
955	197521	9090
956	197758	8885
957	197974	8679
958	198205	8473
959	198475	8269
960	198699	8063
961	198942	7858
962	199143	7651
963	199341	7444
964	199525	7236
965	199788	7031
966	199998	6825
967	200168	6617
968	200438	6412
969	200657	6205
970	200888	5999
971	201099	5792
972	201299	5585
973	201480	5378
974	201698	5171
975	201857	4963
976	202083	4757
977	202303	4550
978	202490	4343
979	202711	4136
980	202962	3930
981	203152	3723
982	203350	3516
983	203546	3309
984	203789	3103
985	204032	2897
986	204215	2689
987	204440	2483
988	204726	2277
989	204919	2069
990	205120	1862
991	205306	1655
992	205476	1448
993	205681	1241
994	205908	1034
995	206136	827
996	206359	620
997	206572	413
998	206797	207
999	207013	0
