From/To,Name
KSYR,Syracuse Hancock International 
KORD,Chicago O'Hare International
SBSP,Sao Paulo/Congonhas Intl
SCAS,Puerto Aysen/Cabo Juan Román
KELP,"El Paso International, TX, USA"
SCHC,"Chicureo, Colina"
KHOU,"William P Hobby, TX, USA"
SKBQ,Barranquilla/Ernesto Cortissoz International
MMCZ,Cozumel International
SCPR,"Corte Alto, Purranque"
KFLL,Fort Lauderdale Hollywood International
SADP,Buenos Aires/El Palomar
KBWI,Baltimore/Washington Intl Thurgood Marshall
KSAV,Savannah/Hilton Head International
MYNN,Nassau/Lynden Pindling International
SCLN,Municipal de Linares
MSLP,San Salvador/San Oscar Arnulfo Romero Intl
KFTY,Fulton County Executive/Charlie Brown Field
KBRO,Brownsville/South Padre Island International
SAZB,Bahia Blanca/Comandante Espora
SCGZ,Puerto Williams/Guardiamarina Zanartu
KAPA,"Centennial, CO, USA"
KPBI,"Palm Beach International, FL, USA"
KIAD,Washington Dulles International
SCOT,Ovalle/Santa Rosa de Tabali
SAVV,"Viedma/Gobernador Castello, ARG"
SCAY,"Ayacara, Los Lagos"
SCPF,Puerto Montt/Marcel Marchant (La Paloma)
SCPV," El Mirador, Puerto Varas"
KBOS,"Boston Logan International, MA, USA"
SCLY,"La Playa, Arauco"
SCLD,"Llanada Grande, CL"
KBJC,Rocky Mountain Metropolitan/Jeffco
SLCB,Cochabamba/Jorge Wilsterman Intl
LFML,Marseille Provence
MHLM,Ramon Villeda Morales International (La Mesa)
SCAH,"Tolquién, Achao"
KDTW,Detroit Metro Wayne County
SAVE,Esquel/Brigadier General Antonio Parodi
SBSL,Sao Luis/Marechal Cunha Machado Intl
SCFT,Futaleufu
SCDH,Chaiten/Vodudahue
SCQY,Longuimay/Villa Portales
SAWC,El Calafate International
SCGO,Angol/Los Confines
SCPG, Municipal de Panguipulli 
SCHR,"Cochrane, Aysén"
