Hour,DayOfWeek,Hour,Temp,A/D,Runway,Airline,From/To,Aircraft Type
11,3,11,19.1,0,0,0,29,6
4,6,4,12.0,0,0,14,19,12
9,1,9,9.7,0,0,0,18,5
7,3,7,10.4,0,0,5,12,1
4,1,4,6.6,0,0,0,5,6
11,1,11,23.5,0,1,0,17,5
18,3,18,12.6,0,0,8,19,10
1,3,1,14.8,0,0,2,2,8
19,0,19,16.1,1,2,5,10,1
18,1,18,29.3,0,1,0,18,5
18,3,18,12.4,0,0,0,29,6
13,4,13,22.3,0,0,4,12,1
10,3,10,16.4,0,1,0,14,5
4,1,4,5.8,0,0,0,31,6
1,4,1,17.4,0,0,10,22,11
12,0,12,23.1,0,0,0,12,6
16,3,16,24.9,0,1,20,7,15
16,5,16,13.9,0,0,0,44,6
8,2,8,9.6,0,0,0,29,6
22,2,22,11.5,1,2,1,1,14
4,6,4,16.6,0,0,14,19,16
6,5,6,14.6,0,0,4,6,4
12,4,12,13.6,0,0,0,31,6
17,4,17,24.4,0,0,0,23,6
13,0,13,28.2,0,0,10,22,11
14,5,14,12.3,0,0,25,51,22
6,2,6,9.6,0,0,0,10,5
9,1,9,13.8,0,0,5,24,1
18,1,18,7.3,0,0,0,23,5
9,3,9,24.0,0,0,0,16,0
9,6,9,9.9,0,0,4,13,1
14,5,14,26.6,0,0,13,99,1
10,6,10,20.3,0,1,0,8,5
12,0,12,15.1,0,0,0,18,5
16,0,16,23.1,0,0,0,31,6
5,4,5,7.7,0,0,4,6,1
11,4,11,17.1,0,0,28,7,0
23,4,23,16.7,0,0,18,34,11
6,1,6,5.8,0,0,0,29,6
21,6,21,8.3,0,0,0,3,6
8,1,8,9.8,0,0,0,4,5
12,2,12,9.0,0,0,0,29,6
10,3,10,21.8,0,1,6,18,8
21,1,21,22.0,0,1,4,10,5
23,5,23,18.9,0,0,13,6,4
7,6,7,15.0,0,0,0,24,5
22,3,22,19.1,0,0,0,9,6
16,3,16,9.9,0,0,0,18,5
18,3,18,21.9,0,0,21,3,7
14,3,14,17.9,0,0,0,3,7
5,0,5,9.2,0,0,0,9,6
10,5,10,24.6,0,0,0,16,7
11,6,11,25.8,0,1,0,8,6
1,2,1,13.5,0,0,16,32,14
0,0,0,17.4,0,0,0,1,7
8,3,8,4.9,0,0,0,18,5
19,0,19,15.5,1,2,10,22,11
23,5,23,17.3,0,1,18,34,11
8,1,8,10.6,0,1,0,4,5
11,3,11,21.7,0,0,0,9,6
13,1,13,16.2,0,0,5,9,4
17,1,17,25.1,0,0,4,45,1
17,3,17,26.7,0,0,4,45,1
11,0,11,15.6,0,0,22,19,15
11,3,11,19.6,0,0,10,22,11
6,3,6,2.3,0,0,0,13,5
14,6,14,28.8,0,1,0,23,5
18,4,18,8.1,1,2,20,7,15
9,4,9,14.7,0,0,0,20,5
6,3,6,13.8,0,0,0,29,5
10,2,10,27.8,0,1,0,3,6
7,5,7,1.3,0,0,14,19,16
8,6,8,7.3,0,0,0,3,5
20,4,20,7.6,1,2,5,30,1
14,0,14,15.1,0,0,21,3,5
13,3,13,10.2,1,2,13,99,4
13,6,13,21.9,0,0,10,22,11
11,4,11,24.4,0,0,0,9,5
8,5,8,15.4,0,1,0,4,5
8,0,8,12.9,0,0,0,10,6
1,0,1,10.5,0,0,16,32,14
10,3,10,10.8,0,0,5,12,1
13,6,13,18.4,0,0,0,9,6
19,1,19,24.3,0,0,14,19,12
4,0,4,14.3,0,0,14,19,16
20,5,20,22.2,0,1,0,8,5
5,3,5,18.9,0,0,0,13,6
8,5,8,21.6,0,1,0,29,6
13,3,13,28.1,0,1,4,20,4
5,5,5,15.5,0,0,4,5,4
4,0,4,3.5,0,0,2,2,8
0,6,0,17.2,0,0,0,19,0
18,4,18,31.2,0,1,0,12,6
4,4,4,14.7,0,0,0,13,6
5,1,5,10.0,0,0,0,5,6
16,6,16,18.6,0,0,4,18,5
8,6,8,6.7,0,0,0,12,6
11,4,11,22.9,0,1,4,10,4
13,1,13,21.1,0,0,0,12,5
15,1,15,14.4,0,0,0,44,5
1,0,1,11.7,0,0,2,2,8
10,0,10,20.0,0,1,5,14,1
20,5,20,10.4,0,0,0,16,0
8,4,8,11.1,0,0,0,29,6
18,2,18,22.6,0,0,30,19,15
12,0,12,23.8,0,0,0,5,5
21,4,21,6.6,0,0,0,29,6
1,3,1,7.1,0,0,0,1,7
8,0,8,21.3,0,0,5,10,1
7,0,7,13.6,0,1,0,7,5
7,0,7,13.6,0,1,20,7,15
0,1,0,15.4,0,0,13,6,5
12,3,12,18.8,0,0,24,63,15
22,4,22,21.7,0,1,15,19,13
14,3,14,17.6,0,0,0,29,6
9,6,9,8.2,0,0,21,3,5
19,4,19,25.4,0,1,0,31,6
13,6,13,22.1,0,0,9,21,11
23,4,23,6.8,1,2,2,2,8
21,2,21,22.7,0,1,21,3,5
9,6,9,18.9,0,0,13,6,6
8,1,8,11.6,0,1,0,12,5
12,5,12,13.7,0,0,0,5,6
13,6,13,22.2,0,1,12,27,0
8,4,8,6.6,0,0,7,20,36
15,0,15,24.2,0,0,13,4,5
4,4,4,16.4,0,0,10,22,11
16,2,16,25.3,0,0,12,27,0
1,0,1,9.2,0,0,2,2,8
21,4,21,18.0,0,0,13,6,4
4,2,4,1.6,0,0,0,8,6
9,0,9,10.2,0,0,0,9,6
7,2,7,9.1,0,0,5,10,1
5,5,5,14.6,0,0,0,5,6
3,0,3,5.1,0,0,3,3,3
15,6,15,23.5,0,0,20,19,15
15,0,15,30.3,0,1,0,20,5
1,3,1,19.3,0,0,0,6,6
16,6,16,21.0,0,0,4,20,4
14,4,14,19.8,0,0,4,6,4
8,4,8,5.6,0,0,0,9,6
23,1,23,9.9,0,0,0,36,0
17,1,17,17.9,0,0,0,12,6
22,6,22,19.5,0,1,17,33,15
13,0,13,14.9,0,0,5,10,1
15,3,15,17.4,0,0,13,4,6
14,4,14,27.3,0,0,20,19,15
4,1,4,6.2,0,0,2,2,8
16,6,16,16.1,0,0,0,1,7
3,4,3,13.1,0,0,2,2,2
8,1,8,1.6,0,0,0,9,6
17,1,17,28.5,0,0,14,19,16
9,3,9,25.2,0,1,0,12,5
1,6,1,16.4,0,0,2,2,8
16,4,16,19.7,0,0,4,9,4
6,6,6,13.6,0,1,4,23,4
10,1,10,9.7,0,0,28,7,0
6,6,6,3.1,0,0,5,6,4
16,0,16,16.7,0,0,0,20,6
12,3,12,23.5,0,0,23,43,0
14,2,14,29.2,0,1,4,17,5
16,6,16,28.5,0,0,13,6,6
16,6,16,21.1,0,0,0,22,0
10,1,10,9.7,0,0,5,10,1
12,4,12,24.1,0,0,4,18,5
17,5,17,26.2,0,0,0,18,5
8,1,8,4.8,0,0,0,7,6
18,2,18,29.2,0,1,0,12,6
17,5,17,18.5,0,0,4,13,4
23,1,23,8.1,0,0,0,35,7
19,3,19,29.1,0,1,4,13,1
19,4,19,7.9,0,0,0,22,0
20,1,20,23.0,0,0,0,31,6
5,5,5,20.1,0,0,4,23,5
18,0,18,24.5,0,0,13,5,5
4,1,4,5.6,0,0,0,23,6
14,5,14,27.1,0,0,0,12,5
8,3,8,5.0,0,0,0,30,5
7,6,7,10.1,0,0,0,11,5
19,3,19,8.7,1,2,25,51,22
7,3,7,9.7,0,0,0,9,6
23,1,23,17.5,0,0,0,10,5
7,5,7,13.9,0,1,0,12,5
17,1,17,28.8,0,1,0,7,5
15,5,15,30.2,0,0,5,23,4
11,6,11,24.5,0,0,18,34,51
11,5,11,25.3,0,1,0,29,5
9,6,9,7.3,0,0,4,12,5
7,0,7,7.8,0,0,0,12,5
5,6,5,1.8,0,0,0,10,6
16,0,16,29.8,0,1,6,18,8
5,6,5,2.1,0,0,21,3,5
16,2,16,15.8,0,0,21,3,0
16,3,16,14.4,0,0,0,18,5
18,3,18,32.7,0,1,27,83,38
16,4,16,26.7,0,0,0,30,5
14,5,14,14.3,0,0,5,26,4
11,2,11,8.4,0,0,13,6,6
17,5,17,29.0,0,1,0,10,6
19,0,19,16.1,1,2,0,12,5
7,0,7,13.1,0,1,0,12,6
4,2,4,4.3,0,0,0,5,6
8,2,8,18.4,0,0,0,8,5
10,0,10,20.4,0,1,7,16,9
7,6,7,13.6,0,0,0,6,0
7,0,7,6.0,0,0,4,13,1
6,3,6,7.0,0,0,0,31,6
4,3,4,9.8,0,0,2,2,8
7,5,7,3.9,0,0,0,10,6
10,4,10,12.4,0,0,5,24,1
8,0,8,1.6,0,0,0,4,5
9,6,9,20.4,0,1,0,15,7
18,2,18,29.2,0,0,5,23,1
8,3,8,11.6,0,1,20,7,15
20,5,20,12.4,0,0,5,3,1
8,3,8,13.0,0,0,0,16,0
7,1,7,11.0,0,0,0,12,6
6,0,6,0.0,0,0,4,18,5
20,0,20,11.4,0,0,0,26,6
7,0,7,12.7,0,1,0,11,6
5,3,5,14.3,0,0,4,5,4
13,3,13,27.7,0,1,0,23,5
12,2,12,27.3,0,1,0,8,6
6,1,6,6.7,0,0,5,7,1
22,2,22,3.8,0,0,16,32,14
4,3,4,7.7,0,0,5,5,4
7,0,7,13.2,0,0,0,6,0
14,4,14,11.4,0,0,14,19,16
21,1,21,17.1,0,0,21,3,5
14,5,14,29.5,0,1,0,29,5
16,3,16,15.1,0,0,21,3,0
0,1,0,18.0,0,0,18,34,11
5,1,5,6.6,0,0,0,31,5
